company_name,company_id,locations,industries,size,description,tags,twitter,company_page,job_page,logo_link
Accolade,849,"Houston, TX;Philadelphia, PA;Plymouth Meeting, PA;Prague, Czech Republic;Scottsdale, AZ;Seattle, WA",Healthcare;Technology,"{'name': 'Medium Size', 'short_name': 'medium'}","Accolade is boldly and relentlessly reinventing the healthcare industry by improving outcomes, costs, and experiences with compassionate people, clinical expertise, and intelligent technologies.",,,https://www.themuse.com/companies/accolade,https://www.themuse.com/search/jobs/c-accolade,https://assets.themuse.com/uploaded/companies/849/small_logo.png?v=e21173652ebc1f5e34f6d0d4a177f7a05ea7edbde4e5f98e857e0f3ab8b61520
Protective,12127,"Birmingham, AL;Cincinnati, OH;St. Louis, MO",Financial Services;Insurance,"{'name': 'Large Size', 'short_name': 'large'}",Protective Life offers insurance and investment products to help customers protect their futures. ,,,https://www.themuse.com/companies/protective,https://www.themuse.com/search/jobs/c-protective,https://assets.themuse.com/uploaded/companies/12127/small_logo.png?v=3b4bbfff5b0aeb86cc2259a909dfae3e37d6f38a60503fa83e7884c4df990a7f
Pabst Brewing Company,198,"Chicago, IL",Food & Beverage,"{'name': 'Large Size', 'short_name': 'large'}","Pabst Brewing Company produces signature beers and malt liquors—including Pabst Blue Ribbon, Old Milwaukee, and Colt 45—beloved by casual beer drinkers and beer connoisseurs alike.",,,https://www.themuse.com/companies/pabstbrewingcompany,https://www.themuse.com/search/jobs/c-pabstbrewingcompany,https://assets.themuse.com/uploaded/companies/198/small_logo.png?v=48f449ad2110fa35fc67ed4b407dce620f79597f8b2879a3bf2e7d948adb5f39
Biogen,12026,"Cambridge, MA;Maidenhead, United Kingdom;Milan, Italy;Mississauga, Canada;Munich, Germany;Research Triangle Park, NC;Solothurn, Switzerland;Weston, MA;Zug, Switzerland",Biotechnology;Healthcare;Healthtech;Pharmaceutical,"{'name': 'Large Size', 'short_name': 'large'}",Biogen is on a mission to transform patient lives by pioneering and leading in neuroscience.,,,https://www.themuse.com/companies/biogen,https://www.themuse.com/search/jobs/c-biogen,https://assets.themuse.com/uploaded/companies/12026/small_logo.png?v=e0b82884f900605ba5768f18f7c4ca69a37cc92314f1401a737873b97184496b
Ideal Image,12242,"Tampa, FL",Consumer Goods & Services;Fashion & Beauty;Healthcare,"{'name': 'Large Size', 'short_name': 'large'}","North America’s number one aesthetics and wellness brand, delivering real results for real people driven by medical experts.
",,,https://www.themuse.com/companies/idealimage,https://www.themuse.com/search/jobs/c-idealimage,https://assets.themuse.com/uploaded/companies/12242/small_logo.png?v=b7b88774f0ad10ad966d64a9e877028155d759065712b25dc00d39683d1bdca3
Alcon,974,"Fort Worth, TX",Healthcare,"{'name': 'Large Size', 'short_name': 'large'}","Alcon gives and sustains the gift of vision by leading global innovation across pharmaceutical, surgical, and everyday eye care in an effort to discover new ways to enhance sight.",,,https://www.themuse.com/companies/alcon,https://www.themuse.com/search/jobs/c-alcon,https://assets.themuse.com/uploaded/companies/974/small_logo.png?v=063ad28d11fe9c84f6bb3303e57eeed4e42814f5e147bbdb0425ac37c1b91fd3
Maven Recruiting Group,12138,"San Francisco, CA",Biotechnology;Financial Services;Real Estate & Construction;Technology,"{'name': 'Small Size', 'short_name': 'small'}","Maven Recruiting Group is your go-to agency for executive assistant, administrative, and HR hiring.",,,https://www.themuse.com/companies/mavenrecruitinggroup,https://www.themuse.com/search/jobs/c-mavenrecruitinggroup,https://assets.themuse.com/uploaded/companies/12138/small_logo.png?v=e73cf4f342440b365d14627f1c508e5fa34d7d458074fda23d5b71f41496b39b
Tradeweb,1478,"Amsterdam, Netherlands;Boca Raton, FL;Garden City, NY;Hong Kong;Jersey City, NJ;London, United Kingdom;New York, NY;Shanghai, China;Singapore;Tokyo, Japan",Financial Services;Fintech;Technology,"{'name': 'Medium Size', 'short_name': 'medium'}","A first-mover in electronic trading, Tradeweb builds and operates global fixed income, derivatives, and ETF marketplaces.",,,https://www.themuse.com/companies/tradeweb,https://www.themuse.com/search/jobs/c-tradeweb,https://assets.themuse.com/uploaded/companies/1478/small_logo.png?v=1055818005046bd533f5f3a95de8270a3d6ce9eaffc53e19caef9d63093835dc
HARP Home Services,15000512,"Windsor, CT",Consumer Goods & Services,"{'name': 'Small Size', 'short_name': 'small'}",,,,https://www.themuse.com/companies/harphomeservices,https://www.themuse.com/search/jobs/c-harphomeservices,https://assets.themuse.com/uploaded/companies/15000512/small_logo.png
Vanguard,928,"Charlotte, NC;Dallas, TX;Malvern, PA;Scottsdale, AZ",Client Services;Consulting;Financial Services;Technology,"{'name': 'Large Size', 'short_name': 'large'}","The Vanguard Group is one of the world’s largest investment companies, advising clients and the general public on savings, investment, retirement, personal finance, the economy, and much more.",,,https://www.themuse.com/companies/vanguard,https://www.themuse.com/search/jobs/c-vanguard,https://assets.themuse.com/uploaded/companies/928/small_logo.png?v=5a7186419cab3a584abb6c7e34d55d8dc5aef3322e59418f9bbf27a084a46bee
Bounteous,15000083,"Atlanta, GA;Chennai, India;Chicago, IL;Denver, CO;Flexible / Remote;Mexico City, Mexico;Pittsburgh, PA;Toronto, Canada",Advertising and Agencies;Client Services;Marketing;Technology,"{'name': 'Large Size', 'short_name': 'large'}",Bounteous co‑innovates with the world's most ambitious brands to create transformative digital experiences.,,,https://www.themuse.com/companies/bounteous,https://www.themuse.com/search/jobs/c-bounteous,https://assets.themuse.com/uploaded/companies/15000083/small_logo.png?v=97f494126a09b2c8506cb356e32023c7af1bd937a624355e3177cb418bf36159
Spectrum,11887,"Charlotte, NC;Denver, CO;St. Louis, MO;Stamford, CT",Media;Technology;Telecom,"{'name': 'Large Size', 'short_name': 'large'}","Spectrum provides a full range of advanced broadband services, including video entertainment programming, internet access, and home phone service.
",,,https://www.themuse.com/companies/spectrum,https://www.themuse.com/search/jobs/c-spectrum,https://assets.themuse.com/uploaded/companies/11887/small_logo.png?v=c0cbc206ec36a42b8cb4309a8490bc5374c1a93a5193acfdbd70e286b81b812d
March of Dimes,15000065,"Arlington, VA;Atlanta, IL;Chicago, IL;Dallas, TX;Flexible / Remote;Houston, TX;Los Angeles, CA;New York, NY;Parsippany, NJ;Philadelphia, PA;Pittsburgh, PA;San Francisco, CA",Healthcare;Non-Profit;Social Good,"{'name': 'Medium Size', 'short_name': 'medium'}","March of Dimes leads the fight for the health of all moms and babies. We support research, lead programs, provide education, and advocacy to families.",,,https://www.themuse.com/companies/marchofdimes,https://www.themuse.com/search/jobs/c-marchofdimes,https://assets.themuse.com/uploaded/companies/15000065/small_logo.png?v=a6a0ebb23545415248575b7266e133251b63b4718d4d5521013a281eec6918f9
Cadence,15000256,"San Jose, CA",Technology,"{'name': 'Large Size', 'short_name': 'large'}","Cadence is a pivotal leader in computational software, delivering software, hardware, and IP that our customers use to turn design concepts into reality for the most dynamic market applications, including hyperscale computing, 5G communications, automotive, mobile, aerospace, consumer, industrial, and life sciences.",,,https://www.themuse.com/companies/cadence,https://www.themuse.com/search/jobs/c-cadence,https://assets.themuse.com/uploaded/companies/15000256/small_logo.png
Waters,15000249,"Bellingham, MA;New York, NY",Information Technology,"{'name': 'Large Size', 'short_name': 'large'}",,,,https://www.themuse.com/companies/waters,https://www.themuse.com/search/jobs/c-waters,https://assets.themuse.com/uploaded/companies/15000249/small_logo.png
Prudential Financial,11759,"Dresher, PA;Hartford, CT;Jacksonville, FL;Minneapolis, MN;Newark, NJ;Shelton, CT;Tampa, FL",Financial Services;Insurance,"{'name': 'Large Size', 'short_name': 'large'}",TBD,,,https://www.themuse.com/companies/prudentialfinancial,https://www.themuse.com/search/jobs/c-prudentialfinancial,https://assets.themuse.com/uploaded/companies/11759/small_logo.png?v=f353d98d1c3af774f3d1c1441a84e82f4fd1ed6e4ac6364148f0ebd0d8b88bb1
Simon Data,15000143,"New York, NY",Marketing;Software;Technology,"{'name': 'Large Size', 'short_name': 'large'}","Simon Data delivers the fastest out-of-the box results of any customer data platform. Built for personalization Simon’s Customer Data Platform is configurable to meet any enterprise requirement and capable of ingesting data from the widest variety of sources. Its unique multi-channel experimentation capabilities and hyper segmentation deliver the most complete customer view for the most impactful, personalized buying experiences. With Simon Data, marketers have a powerful tool to combat soaring customer acquisition costs and unlock the wealth of customer data stored within cloud data warehouses.",,,https://www.themuse.com/companies/simondata,https://www.themuse.com/search/jobs/c-simondata,https://assets.themuse.com/uploaded/companies/15000143/small_logo.png
Taulia,12289,"San Francisco, CA",Financial Services;Technology,"{'name': 'Small Size', 'short_name': 'small'}",TBD,,,https://www.themuse.com/companies/taulia,https://www.themuse.com/search/jobs/c-taulia,https://assets.themuse.com/uploaded/companies/12289/small_logo.png?v=39c000da2f4b09fe4d2f63f117503a2984d82241b2bb63f656a2d1ce7d2d2310
