company_name,company_id,locations,industries,size,description,tags,twitter,company_page,job_page,logo_link
"The TJX Companies, Inc.",15000229,"Framingham, MA;Marlborough, MA",Retail,"{'name': 'Large Size', 'short_name': 'large'}","TJX is the leading off-price apparel and home fashions retailer in the U.S. and worldwide, with four global home offices, seven brands, and nearly 4,700 stores in nine countries, and five distinctive branded e-commerce sites. As Associates, we make a difference with our contributions—collaborating in delighting shoppers with hidden treasures. Our merchandise is ever-changing and the sense of wonder never-ending at the stores our customers love.",,,https://www.themuse.com/companies/thetjxcompaniesinc,https://www.themuse.com/search/jobs/c-thetjxcompaniesinc,https://assets.themuse.com/uploaded/companies/15000229/small_logo.png
Apple,11802,"Cupertino, CA",Consumer Goods & Services;Information Technology;Software;Technology,"{'name': 'Large Size', 'short_name': 'large'}",Working at Apple means doing more than you ever thought possible and having more impact than you ever imagined. ,Featured;Fortune 1000,,https://www.themuse.com/companies/apple,https://www.themuse.com/search/jobs/c-apple,https://assets.themuse.com/uploaded/companies/11802/small_logo.png?v=68744d330bdc480f212a3305c1608ffca4a11dae7c700cc01cc4c65102f8a095
NEXT Insurance,12393,"Palo Alto, CA",Insurance;Technology,"{'name': 'Medium Size', 'short_name': 'medium'}","NEXT Insurance is an insurtech startup that offers fast, tailored, and affordable insurance to small businesses. ",,,https://www.themuse.com/companies/nextinsurance,https://www.themuse.com/search/jobs/c-nextinsurance,https://assets.themuse.com/uploaded/companies/12393/small_logo.png?v=f6da70a08ddd45f294ad0c4fa651236a8bc0d35bb32126eaf1b9a4995177c0a4
UKG,566,"Atlanta, GA;Flexible / Remote;Fort Lauderdale, FL;Indianapolis, IN;Lowell, MA;Noida, India;Santa Ana, CA;Toronto, Canada",Technology,"{'name': 'Large Size', 'short_name': 'large'}",UKG is a cloud-based capital management technology company—helping organizations increase workforce productivity with people-centric solutions.,,UltimateHCM,https://www.themuse.com/companies/ukg,https://www.themuse.com/search/jobs/c-ukg,https://assets.themuse.com/uploaded/companies/566/small_logo.png?v=287ac569b3bd5a1999b9e9705403299e8387448dbcb58bfcc6ffc5b3acec3c45
Chobani,12046,"Norwich, NY",Food & Beverage,"{'name': 'Medium Size', 'short_name': 'medium'}",TBD,,,https://www.themuse.com/companies/chobani,https://www.themuse.com/search/jobs/c-chobani,https://assets.themuse.com/uploaded/companies/12046/small_logo.png?v=2cf352dee97dd4f63b95fac32d367e93b962362aa872eed94a67b68942a378f8
MicroStrategy,12308,"Vienna, VA",Technology,"{'name': 'Small Size', 'short_name': 'small'}",TBD,,,https://www.themuse.com/companies/microstrategy,https://www.themuse.com/search/jobs/c-microstrategy,https://assets.themuse.com/uploaded/companies/12308/small_logo.png?v=c0fb724edf0c04928a1f99e7c058855740957151ceef775752278c7b4c89fc4b
Bird,12255,"Santa Monica, CA",Engineering;Technology;Travel and Hospitality,"{'name': 'Medium Size', 'short_name': 'medium'}",Bird is making the world more livable one ride at a time. Find Bird scooters and its partners in 100+ cities around the globe.,,,https://www.themuse.com/companies/bird,https://www.themuse.com/search/jobs/c-bird,https://assets.themuse.com/uploaded/companies/12255/small_logo.png?v=91c5eaa89b4153d1d7c6f18ef740f4f32412d8c3120773a1d38512275373b6b1
Mars Inc.,12178,"McLean, VA",Consumer Goods & Services;Food & Beverage;Manufacturing,"{'name': 'Large Size', 'short_name': 'large'}","Mars is a family-owned business with more than 130,000 associates globally, making diverse products and offering services for people and pets.",,,https://www.themuse.com/companies/marsinc,https://www.themuse.com/search/jobs/c-marsinc,https://assets.themuse.com/uploaded/companies/12178/small_logo.png?v=66411dae79697a4cfe281f26389c5072fbdc249bdf04f72a28e5df7c36ca3194
Newchip,12305,"Austin, TX",Financial Services;Technology,"{'name': 'Small Size', 'short_name': 'small'}",TBD,,,https://www.themuse.com/companies/newchip,https://www.themuse.com/search/jobs/c-newchip,https://assets.themuse.com/uploaded/companies/12305/small_logo.png?v=f3988c9b44829a3c20c34d9848d9fc9ae816455b83b63e2002711c54c7522eac
Arapahoe County Sheriff's Office,15000233,"Centennial, CO",Government;Law;Telecom,"{'name': 'Large Size', 'short_name': 'large'}","Staffed by more than 800 commissioned and civilian employees, the Sheriff's Office provides both law enforcement and detention operations. The Sheriff's Office also provides public safety services for the City of Centennial and towns of Bennett, Deer Trail, and Foxfield. We serve nearly 200,000 citizens across 864 square miles and we are proud of the quality service we provide to them.",,,https://www.themuse.com/companies/arapahoecountysheriffsoffice,https://www.themuse.com/search/jobs/c-arapahoecountysheriffsoffice,https://assets.themuse.com/uploaded/companies/15000233/small_logo.png
Ginkgo Bioworks,15000260,"Boston, MA",Biotechnology,"{'name': 'Large Size', 'short_name': 'large'}","Ginkgo Bioworks offers end-to-end synthetic biology R&D services. We can help companies discover, engineer, and optimize proteins and enzymes, screen millions of strain variants, and scale-up fermentation. The combination of our lab automation, massive datasets, ML and AI tools, and our ability to understand biology thanks to genomics, is creating new momentum for our partners to develop products with biology.",,,https://www.themuse.com/companies/ginkgobioworks,https://www.themuse.com/search/jobs/c-ginkgobioworks,https://assets.themuse.com/uploaded/companies/15000260/small_logo.png
CURLS,12093,"Frisco, TX",Fashion and Beauty,"{'name': 'Small Size', 'short_name': 'small'}",placeholder,,,https://www.themuse.com/companies/curls,https://www.themuse.com/search/jobs/c-curls,https://assets.themuse.com/uploaded/companies/12093/small_logo.png?v=25a70146b4a732b6196c42e96457682be8ed09eecf944cf9cc6d6ec5f2beab84
